Title,Company,Location,Apply
UI / UX Designer,Chicago Bulls,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-ux-designer-at-chicago-bulls-3707583475?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=MwQJzsfChsFlqVctDhoeng%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer,PathSpot,"New York, NY",https://www.linkedin.com/jobs/view/ui-ux-designer-at-pathspot-3667162946?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=FeLdZMmel60YM2dtew%2BOyA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Orlando, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510313?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=z67HJxgrQowH9pv6RCzRcw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Dallas, TX",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512049?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=Nlchk5XuAP6O1aawMlBcdg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"William Paterson University of New Jersey, NJ",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510318?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=2PSqor6dfUFxbPijLJ7%2FYQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Detroit, MI",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708506845?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=kMQyAbb0dAzkL1b5QiDqzw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
"UX, UI and/or Hybrid Designers",HOO KOO E KOO,United States,https://www.linkedin.com/jobs/view/ux-ui-and-or-hybrid-designers-at-hoo-koo-e-koo-3719413171?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=D1XjBTzIPxqMEiTMpv03FQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Indianapolis, IN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512037?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=oQQqR7RmB42bNYFpCs57Kg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Nashville, TN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708514008?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=4wTywiz3bx019YLy1vqxkQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Newark, NJ",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511374?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=YRhz9jDqBbyJwqQAT78Fww%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
